"experience_id","position_id","name","description","hyperlink","start_date","end_date"
"1","1","CSE 335","Helped students learn the basics of Object-Oriented programming","https://www.coursicle.com/msu/courses/CSE/335/","2022-09-01",NULL
"2","2","Team Member","Worked as a part of a fast moving and dynamic team","https://www.olgas.com","2021-06-01","2021-09-01"
